player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-03,18:10:56,1,1,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,0,0,Sinker,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.19887,-2.301504,-4.614823,2114.967433,173.065246,11:45:00,5.6303,1.92108,6.62359,-30.75395,5.56737,-0.52575,0.952,-2.35766,79.43486,-8.049317,-4.710073,0.433763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16205,4.0491,-1.60754,50,5.46157,10.20762,-126.21215,-6.00319,-1.85324,28.39546,-25.71648,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,9f3c8ae0-40c7-11f0-b7bb-43e5970371a5,86.89642,NA,NA,7.76401,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:10:56,2025-06-03T22:10:56Z,2025-06-03T22:10:56Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,4855680a-3578-4427-a82b-faa0217a2374,53.872,-127.08029,14.19773,5.63309,-5.21695,-12.85824,-1.92049,10.26429,-0.92662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-03,18:11:14,1,2,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,1,0,Fastball,Cutter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.36206,-0.406916,-2.298968,2284.759198,184.260808,12:15:00,5.59574,2.16458,6.74491,-23.46938,12.26772,0.82366,3.2679,0.1318,79.26465,-4.888947,-2.148905,0.43026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13524,6.97268,-2.01385,50,5.55989,5.06232,-126.8747,-1.52668,-1.83269,28.28364,-20.91762,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,a9959ef0-40c7-11f0-b7bb-43e5970371a5,87.60384,NA,NA,8.09741,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:11:14,2025-06-03T22:11:14Z,2025-06-03T22:11:14Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,dfa68ced-b7dd-427c-9373-cdc58cd60081,53.7499,-127.70791,14.14182,5.59578,-0.91047,-10.45881,-2.16378,5.11631,-0.91635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-03,18:11:31,1,3,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,87.90083,-0.653017,-2.421969,2319.626257,210.458213,01:00:00,5.61634,1.99149,6.77898,-24.31411,10.58142,5.59008,2.99342,0.24479,80.57724,-5.264551,-1.402557,0.425164,73.81806,20.067291,140.734169,3943.049145,-93.3472,21.89671,58.19149,181.71764,63.72203,152.157477,2.320432,-3.61646,6.11996,-1.83564,50,5.56453,5.19886,-127.7909,-2.12471,-5.98691,26.0624,-22.04274,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,b3a1f290-40c7-11f0-b7bb-43e5970371a5,88.6539,22.41037,NA,7.32359,NA,NA,NA,-0.84749,2.86686,-0.41177,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:11:31,2025-06-03T22:11:31Z,2025-06-03T22:11:31Z,LineDrive,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,26023f36-1d4f-4830-86d8-d63b67bcd8f1,53.71826,-128.54698,13.0312,5.6169,-1.48523,-11.02137,-1.98898,5.37255,-2.99345,NA,-0.84749,-78.73295,4.75938,0.01315,-0.22269,0.08712,-0.021,0.00316,-2.4e-4,2.86686,37.14876,-18.79341,1.16242,-0.08419,-0.01074,0.00657,-8.1e-4,4e-5,-0.41177,64.36361,-19.00148,4.84196,-1.12602,0.22121,-0.03846,0.00484,-2.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-03,18:11:53,1,4,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.60185,0.624319,-0.927082,2615.71666,56.334811,08:00:00,5.49814,2.11485,6.34841,-59.11806,-8.10056,-15.28643,1.14641,-0.01246,66.7971,-10.36156,-3.70184,0.51408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.60721,-3.90055,-2.04079,50,5.51673,2.26974,-108.18697,-0.50026,8.66374,25.73436,-36.61636,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,c0c26400-40c7-11f0-b7bb-43e5970371a5,73.32014,NA,NA,7.80475,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:11:53,2025-06-03T22:11:53Z,2025-06-03T22:11:53Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,bf00c6d6-2908-4655-bd49-c988a54d1d08,54.1488,-109.16938,12.86718,5.50915,0.89757,-18.30818,-2.12113,1.93901,4.33187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-03,18:12:11,1,5,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.83224,-1.007803,-2.195946,2393.302137,188.8068,12:15:00,5.81998,1.86292,6.79419,-17.9778,15.74706,2.26209,3.40122,0.04617,81.47073,-4.482484,-1.783411,0.417971,76.46614,55.652989,41.598472,NA,NA,NA,NA,NA,46.59428,NA,NA,-1.87185,8.99276,-1.72134,50,5.74758,4.9187,-130.49483,-2.7401,-3.19578,29.99761,-16.82067,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,cbc377e0-40c7-11f0-b7bb-43e5970371a5,90.17951,68.58257,NA,8.3615100000000009,NA,NA,NA,0.28351,3.59115,0.11299,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:12:11,2025-06-03T22:12:11Z,2025-06-03T22:12:11Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,ee5d48aa-8582-4f40-9931-2a64563d14e1,53.70217,-131.34311,14.9988,5.81834,-2.26444,-8.41033,-1.86171,5.00907,-1.59789,202.34179,0.28351,47.31844,-19.06841,6.33886,-1.69313,0.41762,-0.09861,0.01786,-0.00113,3.59115,92.59517,-25.13951,2.33418,-0.19552,-0.04238,0.02637,-0.00871,0.00187,0.11299,42.00902,-5.31304,0.8027,-0.04037,-0.02502,0.01331,-0.00511,0.00131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-03,18:13:00,1,6,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,74.50615,0.327454,-1.033381,2553.39353,79.180268,08:45:00,5.59083,1.96899,6.27171,-53.01901,-2.34583,-22.06804,1.47449,-0.82272,67.47761,-9.504899,-5.028118,0.512343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.14257,-0.8298,-1.88219,50,5.58975,2.69259,-108.15941,-0.87048,12.85328,23.47352,-33.13126,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,e8f05720-40c7-11f0-b7bb-43e5970371a5,73.56882,NA,NA,7.02854,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:13:00,2025-06-03T22:13:00Z,2025-06-03T22:13:00Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,b797cf0d-3746-4a70-9420-848975d05ad3,54.22708,-109.07294,11.73676,5.59854,0.4189,-16.56563,-1.97725,2.19237,6.42664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-03,18:13:23,1,7,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,3,2,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.26847,-0.830653,-3.099726,2311.260516,178.413302,12:00:00,5.67447,1.96972,6.8459,-23.36816,11.51418,-0.28654,2.96855,-0.88328,80.23233,-5.288157,-3.151967,0.425083,75.71682,7.646072,159.66994,3167.479459,NA,NA,NA,106.30561,61.36635,164.763027,1.085218,-0.7898,6.71847,-1.77146,50,5.61273,6.94992,-128.14045,-2.48052,-1.30172,28.63858,-21.10087,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,f69b5550-40c7-11f0-b7bb-43e5970371a5,88.67068,6.01821,NA,8.03614,NA,NA,NA,-0.46369,2.66738,0.85857000000000006,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:13:23,2025-06-03T22:13:23Z,2025-06-03T22:13:23Z,GroundBall,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,8d4c593c-7b69-46d2-a1b8-6a5489dc4832,53.64958,-128.95353,14.31929,5.67465,-1.88144,-10.55044,-1.9693,6.98687,-0.65086,265.474664,-0.46369,-103.20757,10.08972,-1.81615,0.26061,0.01916,-0.0804,0.06296,-0.01785,2.66738,14.77579,-16.58417,0.64886,0.11365,-0.36256,0.53969,-0.40168,0.11339,0.85858,38.23914,-15.72948,4.04315,-1.0498,0.59468,-0.67121,0.48389,-0.13581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-03,18:13:49,1,8,"Rehkow, Ben",1000388695,Right,NSH_N,"Dwyer, Joe",10121504,Right,UPP_VAL,Undefined,1,Top,0,3,2,Fastball,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.35141,0.172627,-1.93966,2283.759179,182.57719,12:00:00,5.67725,1.98348,6.76967,-21.62151,14.30473,0.58595,4.03319,0.26044,78.66555,-3.996407,-1.83284,0.431397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.93791,7.87469,-1.85713,50,5.68009,4.27206,-126.80842,-0.16195,-1.50237,29.86143,-19.56,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,05b8cf40-40c8-11f0-b7bb-43e5970371a5,87.37296,NA,NA,8.68585,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:13:49,2025-06-03T22:13:49Z,2025-06-03T22:13:49Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,6a4963cb-da8d-48b0-8616-a38d8124e30e,53.72364,-127.68227,14.93072,5.67645,0.41044,-9.78,-1.98279,4.31603,-0.75118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-03,18:14:19,2,1,"Rehkow, Ben",1000388695,Right,NSH_N,"Spanier, Jack",822384,Right,UPP_VAL,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,1,0,NA,85.67385,-1.701302,-2.975208,2345.083344,206.518332,01:00:00,5.54167,2.06159,6.86739,-23.55769,13.73119,6.1739,2.02535,-0.13808,77.34176,-6.221259,-1.848047,0.439502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.24386,8.24697,-1.8743,50,5.42486,6.23648,-124.27628,-4.28198,-6.52468,28.84111,-19.49485,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,17b2b530-40c8-11f0-b7bb-43e5970371a5,85.76168,NA,NA,8.3320900000000009,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:14:19,2025-06-03T22:14:19Z,2025-06-03T22:14:19Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,33b79f82-25cd-4e11-89ae-6cc41a6efa5d,53.62773,-125.11535,14.42055,5.54118,-3.71482,-9.74742,-2.0585,6.4263,-3.26234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.02216,2.077033,0.654694,1.422339,1.1053,1.99131,0.14811,-3.51579,6.46287,0.54916,127.27821,3.16018,2.44009,-3.35854,104.09134,-8.7255,6.52144,16.58854,-13.37343,0.51058,-0.76326,1.51854,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-03,18:14:47,2,2,"Rehkow, Ben",1000388695,Right,NSH_N,"Spanier, Jack",822384,Right,UPP_VAL,Undefined,1,Top,1,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,73.94744,1.23458,0.188496,2641.663504,73.006559,08:30:00,5.53877,2.00641,5.9377,-56.99121,-4.75055,-22.07127,1.93496,0.342,66.62438,-9.291354,-3.784138,0.520207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37768,-2.30851,-2.00907,50,5.60562,0.43058,-107.24939,0.61048,12.87721,23.43609,-34.78682,NSH_N,UPP_VAL,FraserField,NECBL,NECL,20250603-FraserField-1,29158b40-40c8-11f0-b7bb-43e5970371a5,72.45669,NA,NA,7.32306,NA,NA,NA,NA,NA,NA,15a45e52-862d-4085-a6c4-96174483653f,2025-06-03,22:14:47,2025-06-03T22:14:47Z,2025-06-03T22:14:47Z,NA,v3,NA,NA,NA,"Sengenberger, Aidan",10034113,Right,NSH_N,b381fe3c-d4f0-4d82-acce-35a649237c6d,54.56062,-108.24139,11.71804,5.54862,2.08292,-17.39341,-2.01575,-0.11448,6.43861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
