player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2025-06-25,18:37:11,1,1,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.627440000000007,-1.149408,-4.862106,2406.137776,225.762391,01:30:00,5.87234,2.43439,6.03285,-16.88867,15.82249,15.11595,3.39661,-0.81909,84.06578,-4.370386,-2.155922,0.411642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.1313,8.78075,-2.06175,50,5.77305,10.73661,-134.05806,-3.19995,-16.54758,30.11508,-16.26175,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,efebffd0-5214-11f0-948d-b7b0b623e4c6,91.56615,NA,NA,8.56166,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:37:11,2025-06-25T22:37:11Z,2025-06-25T22:37:11Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,89381e34-cf70-4546-83b4-4c9c768a2b33,54.46338,-135.057,15.05754,5.87025,-2.66053,-8.13088,-2.42699,11.28551,-8.27379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2025-06-25,18:37:23,1,2,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,93.33449,-2.044808,-2.472332,2410.543196,218.714399,01:15:00,5.8411,2.38163,5.74639,-13.44583,18.91288,14.30812,2.81431,1.2708,85.02712,-4.625264,0.086264,0.409418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.93705,10.49938,-2.18478,50,5.66284,5.18787,-135.35261,-5.22105,-14.69969,30.00234,-12.72889,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,f6ed3650-5214-11f0-948d-b7b0b623e4c6,92.06344,NA,NA,8.30737,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:37:23,2025-06-25T22:37:23Z,2025-06-25T22:37:23Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,49b92f2e-6309-45a7-89fd-a8e9488367c5,54.75002,-136.40143,15.00117,5.83758,-4.77607,-6.36445,-2.37512,5.70175,-7.34984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2025-06-25,18:37:37,1,3,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.22897,-2.585123,-3.977937,2362.626574,219.132361,01:15:00,5.83158,2.20868,5.85617,-13.43091,19.65745,15.10276,2.30311,-0.23454,84.04616,-5.170232,-1.277834,0.414008,74.34892,18.638021,-166.217736,1770.493341,-107.05189,13.84016,-25.29498,156.2677,46.86492,-166.950845,1.817142,-8.8665,11.11697,-1.89439,50,5.61346,8.63081,-133.56455,-6.41891,-15.99537,29.12538,-12.11874,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,fef814a0-5214-11f0-948d-b7b0b623e4c6,91.04273,16.3822,NA,8.18281,NA,NA,NA,1.80594,2.32891,0.26028,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:37:37,2025-06-25T22:37:37Z,2025-06-25T22:37:37Z,LineDrive,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,bcbe0a35-9446-496c-9ca0-7f106d19ca96,54.642,-134.57299,14.56269,5.82845,-5.99931,-6.05937,-2.20281,9.18463,-7.99769,15.089384,1.61359,-98.84772,7.85077,NA,NA,NA,NA,NA,NA,2.75969,31.56278,-18.31715,NA,NA,NA,NA,NA,NA,0.17147,-23.92324,2.4493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2025-06-25,18:37:59,1,4,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.45965,-2.038523,-5.11738,2464.715185,218.962298,01:15:00,5.88448,2.09769,5.95264,-11.99146,19.4282,14.8904,2.9863,-1.4199600000000001,86.16164,-4.361162,-2.457868,0.403434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.00977,10.81146,-1.69819,50,5.71497,11.5734,-136.67455,-5.20052,-17.07277,29.61895,-11.68724,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,0c8aa8d0-5215-11f0-948d-b7b0b623e4c6,93.42906,NA,NA,8.29801,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:37:59,2025-06-25T22:37:59Z,2025-06-25T22:37:59Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,799321b0-d3a2-4a37-9e05-374b14b879ee,54.54498,-137.65598,14.80948,5.88087,-4.81326,-5.84362,-2.09105,12.1391,-8.53638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2025-06-25,18:38:14,1,5,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.46841,-2.316993,-4.109095,2475.888381,221.654757,01:30:00,5.84135,2.29109,5.91931,-14.57741,17.69985,14.7604,2.46972,-0.29859,84.81598,-5.114098,-1.467582,0.408902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.81874,10.09701,-1.97024,50,5.64718,9.07701,-135.32209,-5.91551,-16.25133,31.23611,-13.56717,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,156fba80-5215-11f0-948d-b7b0b623e4c6,92.17956,NA,NA,8.65243,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:38:14,2025-06-25T22:38:14Z,2025-06-25T22:38:14Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,8df42835-0fd6-4fb1-b2e3-00e131f27b0e,54.57865,-136.37488,15.61805,5.83885,-5.45824,-6.78358,-2.2854,9.62475,-8.12567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2025-06-25,18:38:31,1,6,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,94.68608,-2.0306670000000002,-3.413556,2516.480799,212.346647,01:00:00,5.82035,2.17499,5.94915,-11.88985,19.17603,11.53312,2.94202,-0.03361,86.69964,-4.325753,-1.346606,0.401156,66.03816,53.0525,-84.878682,4580.961434,NA,NA,NA,NA,53.63339,NA,NA,-6.86256,10.70024,-1.90984,50,5.6519,7.68912,-137.35014,-5.20679,-13.15876,29.35008,-11.65671,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,1f9b2ee0-5215-11f0-948d-b7b0b623e4c6,93.95951,60.91448,NA,7.98643,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:38:31,2025-06-25T22:38:31Z,2025-06-25T22:38:31Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,c625df66-d277-4aaa-9e6f-8cf74c507c83,54.54967,-138.31893,14.67504,5.81742,-4.82202,-5.82835,-2.17081,8.12346,-6.57938,NA,3.40565,5.19686,6.67489,-3.19958,0.95781,-0.25684,0.07671,-0.02396,0.00477,12.43122,77.40587,-26.88443,3.24519,-0.51928,0.07509,-0.03324,0.01988,-0.00543,-7.20796,-57.98597,8.15138,-2.715,0.68366,-0.16973,0.05725,-0.02201,0.00505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2025-06-25,18:38:51,1,7,"McNellie, Luke",1000283886,Right,HAR_MAR,"Dowd, Brayden",804053,Left,YAR_RED,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,94.62632,-1.698085,-4.041795,2496.664353,212.088821,01:00:00,5.84086,2.07009,6.10427,-12.11611,19.27123,11.38717,3.2565,-0.72486,85.43097,-4.068874,-1.997565,0.403226,82.22389,70.533173,28.980554,NA,NA,NA,NA,NA,32.5543,NA,NA,-7.15607,10.80993,-1.76511,50,5.70378,9.18795,-137.02907,-4.38047,-13.45394,33.44373,-11.85057,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,2b51fe30-5215-11f0-948d-b7b0b623e4c6,93.47713,100.03745,NA,9.19536,NA,NA,NA,2.35408,2.65969,0.66428,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:38:51,2025-06-25T22:38:51Z,2025-06-25T22:38:51Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,160a3de6-8b56-42f9-a27e-985bb83f2b4a,54.3928,-138.09702,16.72187,5.83762,-4.00204,-5.92529,-2.06537,9.61757,-6.72697,NA,2.35408,35.15837,-13.92978,4.49045,-0.60544,-0.69846,0.83713,-0.42651,0.08703,2.65969,113.70043,-27.95357,3.13295,-0.67085,0.47208,-0.41305,0.20261,-0.04099,0.66427,19.47338,-10.57572,3.59843,-0.48232,-0.61435,0.73082,-0.37225,0.07595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2025-06-25,18:39:25,2,1,"McNellie, Luke",1000283886,Right,HAR_MAR,"Miller, Cody",811764,Right,YAR_RED,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,94.36195,-0.788326,-3.437708,2436.778255,207.463271,01:00:00,5.79551,2.0338,6.08679,-10.99371,20.85411,10.20749,4.14876,-0.29948,84.30271,-2.981481,-1.604042,0.406173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.37575,11.30575,-1.77342,50,5.72863,7.74057,-136.59281,-2.11177,-11.7938,35.95016,-11.26077,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,3f5ff710-5215-11f0-948d-b7b0b623e4c6,92.79895,NA,NA,10.05924,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:39:25,2025-06-25T22:39:25Z,2025-06-25T22:39:25Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,229a19ef-95fa-4f35-9bff-cd01763b037f,54.40627,-137.74762,17.97508,5.79066,-1.75005,-5.63038,-2.02815,8.11942,-5.8969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2025-06-25,18:39:37,2,2,"McNellie, Luke",1000283886,Right,HAR_MAR,"Miller, Cody",811764,Right,YAR_RED,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.21076,-1.921669,-3.245597,2715.302698,197.786888,12:30:00,5.67872,2.35275,5.52406,-32.87939,3.32685,0.65327,1.13868,-0.63031,80.8602,-7.952694,-3.129273,0.433075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.38165,2.6376,-2.07073,50,5.48938,7.29324,-129.11355,-5.54888,-2.29642,30.73908,-27.79012,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,46f8b2a0-5215-11f0-948d-b7b0b623e4c6,87.03443,NA,NA,8.35055,NA,NA,NA,NA,NA,NA,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:39:37,2025-06-25T22:39:37Z,2025-06-25T22:39:37Z,NA,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,8f4edeea-34e7-410c-b990-568ab172d544,54.97306,-130.29215,15.36954,5.68171,-4.48335,-13.89506,-2.35205,7.38129,-1.14821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2025-06-25,18:39:51,2,3,"McNellie, Luke",1000283886,Right,HAR_MAR,"Miller, Cody",811764,Right,YAR_RED,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,93.66863,-1.98839,-3.182939,2407.262677,206.368534,01:00:00,5.81767,2.04344,5.98475,-12.65146,19.60946,9.13634,2.91687,-0.14831,84.31562,-4.459754,-1.544033,0.408799,94.90883,45.917554,-1.100168,4357.503725,109.99177,114.54814,-1.34243,274.05816,129.92275,0.386093,6.125539,-5.74075,11.07064,-1.79718,50,5.6537,7.14386,-135.65843,-5.04593,-10.5345,33.90774,-11.85896,HAR_MAR,YAR_RED,CCBLHarwich,Cape Cod Baseball League,CCBL,20250625-CCBLHarwich-1,4f3bdf00-5215-11f0-948d-b7b0b623e4c6,92.20286,140.10743,NA,9.35302,NA,NA,NA,1.28132,3.29022,-0.79243,ccefe9eb-42b6-4288-82a4-ea501e4bef99,2025-06-25,22:39:51,2025-06-25T22:39:51Z,2025-06-25T22:39:51Z,FlyBall,v3,6100,6104,NA,"Swidler, Ethan",835029,Right,HAR_MAR,47f2f6ee-52d6-4a73-8170-07252385baac,54.51158,-136.78145,16.95387,5.81432,-4.65316,-5.92948,-2.03956,7.49276,-5.26725,NA,1.28977,96.67945,-27.09863,7.3212,-1.35081,0.16084,-0.01137,5.2e-4,-2e-5,3.29059,99.96647,-20.47962,0.37136,0.51351,-0.24059,0.05472,-0.0063,2.9e-4,-0.79276,-1.85346,1.53079,-0.51695,0.11699,-0.01753,0.00151,-6e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
